corrida,perfil_id,n_habs_iniciales,algoritmo,exito,num_cursos,semanas_perturbadas,semanas_nominales,nodos_expandidos,tiempo_segundos
146,8,3,A*,False,0,0,0,5000,0.402406
146,8,3,Greedy,True,32,174,174,352753,25.11153
147,data_scientist,5,A*,True,10,40,40,249,0.020275
147,data_scientist,5,Greedy,True,10,40,40,15,0.000907
148,4,5,A*,False,0,0,0,5000,0.458614
148,4,5,Greedy,True,15,62,65,55,0.006155
149,8,2,A*,False,0,0,0,5000,0.425249
149,8,2,Greedy,True,32,176,174,352069,24.086803
150,ml_engineer,4,A*,False,0,0,0,5000,0.429903
150,ml_engineer,4,Greedy,True,13,62,60,638,0.037935
151,ml_engineer,2,A*,False,0,0,0,5000,0.437743
151,ml_engineer,2,Greedy,True,13,55,60,710,0.040927
152,data_scientist,3,A*,True,11,44,44,272,0.019776
152,data_scientist,3,Greedy,True,11,44,44,16,0.001016
153,8,2,A*,False,0,0,0,5000,0.434208
153,8,2,Greedy,True,31,169,171,352556,24.21522
154,9,3,A*,True,13,67,64,235,0.02612
154,9,3,Greedy,True,13,67,64,17,0.001403
155,4,5,A*,False,0,0,0,5000,0.463704
155,4,5,Greedy,True,14,61,62,57,0.006926
156,5,3,A*,False,0,0,0,5000,0.502054
156,5,3,Greedy,True,15,62,61,3806,0.268406
157,4,4,A*,False,0,0,0,5000,0.482452
157,4,4,Greedy,True,15,65,65,54,0.005994
158,9,4,A*,True,12,58,59,197,0.016552
158,9,4,Greedy,True,12,58,59,16,0.000996
159,ml_engineer,0,A*,False,0,0,0,5000,0.452507
159,ml_engineer,0,Greedy,True,13,58,60,638,0.041519
160,9,1,A*,True,12,59,61,193,0.018038
160,9,1,Greedy,True,12,59,61,13,0.001115
161,8,3,A*,False,0,0,0,5000,0.436137
161,8,3,Greedy,True,32,175,174,352753,24.142863
162,ml_engineer,2,A*,False,0,0,0,5000,0.410956
162,ml_engineer,2,Greedy,True,13,62,60,582,0.041112
163,8,2,A*,False,0,0,0,5000,0.430631
163,8,2,Greedy,True,32,180,174,354660,25.054641
164,data_scientist,2,A*,True,11,43,44,298,0.023512
164,data_scientist,2,Greedy,True,11,43,44,16,0.001024
165,9,1,A*,True,13,65,64,235,0.019251
165,9,1,Greedy,True,13,65,64,17,0.000999
166,ml_engineer,5,A*,False,0,0,0,5000,0.421947
166,ml_engineer,5,Greedy,True,12,54,55,637,0.038233
167,8,5,A*,False,0,0,0,5000,0.432855
167,8,5,Greedy,True,30,165,166,327725,22.217281
168,2,4,A*,False,0,0,0,5000,0.492562
168,2,4,Greedy,True,12,42,43,16,0.001573
169,11,0,A*,True,6,24,24,15,0.000948
169,11,0,Greedy,True,6,23,23,7,0.000479
170,backend_developer,1,A*,True,9,36,35,1364,0.129662
170,backend_developer,1,Greedy,True,9,33,32,19,0.001439
171,4,0,A*,False,0,0,0,5000,0.489199
171,4,0,Greedy,True,15,67,65,52,0.004738
172,data_scientist,3,A*,True,11,45,44,282,0.021817
172,data_scientist,3,Greedy,True,11,45,44,16,0.000951
173,9,1,A*,True,13,62,64,235,0.01942
173,9,1,Greedy,True,13,62,64,17,0.001065
174,data_scientist,0,A*,True,11,45,44,298,0.021247
174,data_scientist,0,Greedy,True,11,45,44,16,0.000922
175,2,4,A*,True,11,45,44,2259,0.213802
175,2,4,Greedy,True,11,40,39,15,0.001194
176,3,3,A*,True,11,40,40,1369,0.116385
176,3,3,Greedy,True,11,40,40,74,0.005017
177,2,3,A*,False,0,0,0,5000,0.572883
177,2,3,Greedy,True,12,40,42,16,0.00189
178,backend_developer,2,A*,True,10,40,39,1708,0.160333
178,backend_developer,2,Greedy,True,10,36,35,15,0.001309
179,11,5,A*,True,6,24,24,15,0.001148
179,11,5,Greedy,True,6,23,23,7,0.000411
180,5,0,A*,False,0,0,0,5000,0.44781
180,5,0,Greedy,True,15,60,61,2725,0.186096
181,ml_engineer,1,A*,False,0,0,0,5000,0.429167
181,ml_engineer,1,Greedy,True,13,60,60,638,0.036065
182,data_scientist,5,A*,True,11,45,44,298,0.027738
182,data_scientist,5,Greedy,True,11,45,44,16,0.000958
183,8,5,A*,False,0,0,0,5000,0.445931
183,8,5,Greedy,True,32,171,174,298392,20.148811
184,4,0,A*,False,0,0,0,5000,0.510581
184,4,0,Greedy,True,15,66,65,52,0.006505
185,4,3,A*,False,0,0,0,5000,0.52163
185,4,3,Greedy,True,14,61,60,52,0.005308
186,4,1,A*,False,0,0,0,5000,0.498159
186,4,1,Greedy,True,15,65,65,52,0.005454
187,1,2,A*,True,7,30,29,55,0.00438
187,1,2,Greedy,True,7,29,28,8,0.000796
188,2,0,A*,False,0,0,0,5000,0.58585
188,2,0,Greedy,True,12,43,42,16,0.001644
189,8,4,A*,False,0,0,0,5000,0.424574
189,8,4,Greedy,True,32,172,174,299473,22.205946
190,2,0,A*,False,0,0,0,5000,0.506937
190,2,0,Greedy,True,12,42,42,16,0.001893
191,1,1,A*,True,7,29,29,55,0.004331
191,1,1,Greedy,True,7,28,28,8,0.000425
192,1,3,A*,True,7,30,29,60,0.004958
192,1,3,Greedy,True,7,29,28,8,0.000485
193,11,2,A*,True,6,24,24,15,0.000989
193,11,2,Greedy,True,6,23,23,7,0.0007
194,11,5,A*,True,5,20,20,9,0.000925
194,11,5,Greedy,True,5,19,19,6,0.000519
195,4,5,A*,False,0,0,0,5000,0.451501
195,4,5,Greedy,True,15,63,65,51,0.005196
196,11,5,A*,True,6,23,24,34,0.003055
196,11,5,Greedy,True,6,22,23,7,0.000447
197,ml_engineer,1,A*,False,0,0,0,5000,0.434441
197,ml_engineer,1,Greedy,True,13,58,60,638,0.040997
198,data_scientist,1,A*,True,11,45,44,298,0.025902
198,data_scientist,1,Greedy,True,11,45,44,16,0.000913
199,backend_developer,0,A*,True,10,38,39,2363,0.223438
199,backend_developer,0,Greedy,True,10,35,36,15,0.001177
200,3,2,A*,True,11,40,40,1369,0.118375
200,3,2,Greedy,True,11,40,40,74,0.004989
